DPA_PARROQ,DPA_DESPAR,altura_mean,pendiente_mean,distancia_rios,precipitaciones_mean,DPA_DESPRO,DPA_DESCAN,riesgo_inundacion,Densidad Poblacional,rango_altitudinal,riesgo_inundacion_cod,riesgo_predicho,probabilidad_riesgo_alto
010553,CHICAN,2606.09631695132,89.9836652748424,1.05043680753191,69.1134523664202,AZUAY,PAUTE,Nulo,138.0,975,3,Nulo,0.02
010554,EL CABO,2620.94425901202,89.9170390859306,1528.69506966718,72.697863528603,AZUAY,PAUTE,Nulo,148.0,906,3,Nulo,0.02
010556,GUARAINAG,2743.80674677254,89.9984459080008,275.371407792376,101.681797888971,AZUAY,PAUTE,Nulo,19.0,1651,3,Bajo,0.02
010559,SAN CRISTOBAL,2630.23129745422,89.977307928306,1303.84791772791,67.9346099266639,AZUAY,PAUTE,Nulo,166.0,783,3,Nulo,0.02
010561,TOMEBAMBA,2830.37055067642,89.9961118567704,72.1590568083862,98.0015691121419,AZUAY,PAUTE,Nulo,34.0,1660,3,Bajo,0.01
010562,DUG DUG,2899.71326595881,89.9960321513012,141.828912132033,93.1134272608264,AZUAY,PAUTE,Nulo,48.0,1554,3,Bajo,0.01
010650,PUCARA,2302.90814305685,89.9962237035589,173.952110509604,80.0347049704896,AZUAY,PUCARA,Bajo,14.0,3726,1,Bajo,0.13
010652,SAN RAFAEL DE SHARUG,1525.79296365011,89.9984594854269,1483.64614105734,75.8117756393721,AZUAY,PUCARA,Bajo,25.0,2594,1,Medio,0.21
010750,SAN FERNANDO,3057.60160705845,89.9902471527032,1570.38411474183,74.9725331115723,AZUAY,SAN FERNANDO,Nulo,25.0,2449,3,Bajo,0.01
010751,CHUMBLIN,3356.04743429287,89.9849418433249,1167.63167908288,78.5431887978002,AZUAY,SAN FERNANDO,Nulo,33.0,1407,3,Nulo,0.0
010850,SANTA ISABEL,1431.67251999302,89.9916792968265,2074.27702044644,60.0600569155309,AZUAY,SANTA ISABEL,Nulo,56.0,1498,3,Nulo,0.14
010851,ABDON CALDERON,1635.02188815759,89.9890464801618,46.7270534590696,54.4204285290776,AZUAY,SANTA ISABEL,Nulo,68.0,1783,3,Medio,0.14
010852,EL CARMEN DE PIJILI,1297.68316205836,89.9839069461482,1717.80056325537,85.3987052440643,AZUAY,SANTA ISABEL,Nulo,13.0,3610,3,Alto,0.42
